日付,曜日,特定日,98番台,,,,,,,,,99番台,,,,,,,,,100番台,,,,,,,,,101番台,,,,,,,,,102番台,,,,,,,,,103番台,,,,,,,,,104番台,,,,,,,,,105番台,,,,,,,,,132番台,,,,,,,,,133番台,,,,,,,,,135番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-24,日,いいえ,"-1,096","4,716",13,14,1/175,-,3.19,36,1.0,+732,"6,290",24,24,1/131,-,4.56,34,3.0,-457,792,2,0,1/396,-,2.67,35,1.0,"+2,396","6,136",31,21,1/118,-,4.27,25,11.0,-754,"1,403",3,2,1/281,-,2.68,13,-,"+1,680","8,528",37,28,1/131,-,4.04,14,1.0,-532,"2,290",7,5,1/191,-,2.81,30,5.0,"+1,990","6,024",30,18,1/126,-,3.61,31,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-23,土,いいえ,"-2,070","5,567",14,12,1/214,-,2.10,16,2.0,"+1,357","6,398",27,24,1/125,-,4.56,41,3.0,-292,"1,726",6,3,1/192,-,2.76,38,22.0,-550,"4,285",15,9,1/179,-,2.35,43,2.0,+223,"3,263",12,12,1/136,-,4.05,9,-,"+2,169","7,286",28,41,1/106,-,5.45,14,5.0,-484,"3,290",12,5,1/194,-,2.14,16,2.0,"+1,711","6,897",35,13,1/144,-,1.97,49,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,はい,"+1,767","5,475",28,14,1/130,-,2.98,7,-,-210,"6,461",23,19,1/154,-,3.22,87,11.0,-468,960,2,2,1/240,-,3.12,20,10.0,-621,"2,809",8,8,1/176,-,3.21,29,2.0,+296,"2,311",10,6,1/144,-,3.20,10,3.0,-670,"3,809",13,7,1/190,-,2.22,27,7.0,-539,"3,176",12,3,1/212,-,1.86,7,-,-883,"2,084",5,4,1/232,-,2.66,76,47.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,+870,"6,214",28,14,1/148,-,2.38,8,7.0,-533,"1,667",4,5,1/185,-,3.37,96,21.0,-337,"3,584",14,5,1/189,-,2.01,12,2.0,-801,"3,868",12,9,1/184,-,2.60,27,5.0,-12,"1,911",8,3,1/174,-,2.64,10,2.0,-405,"2,393",8,5,1/184,-,2.74,22,10.0,"+1,043","2,746",12,14,1/106,-,4.87,1,-,-831,"3,050",11,1,1/254,-,1.66,75,48.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-20,水,いいえ,+357,"4,845",19,15,1/143,-,3.55,16,3.0,-118,"4,851",16,18,1/143,-,4.22,81,15.0,"+1,234","2,766",14,11,1/111,-,4.33,3,-,-575,"1,910",5,5,1/191,-,3.14,13,6.0,"+1,031","1,834",11,5,1/115,-,3.46,7,4.0,-438,"2,341",8,4,1/195,-,2.52,18,2.0,"+1,054","5,548",24,18,1/132,-,3.85,7,4.0,"-1,321","2,494",6,2,1/312,-,1.94,66,48.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-19,火,いいえ,-328,"4,419",15,13,1/158,-,3.27,27,10.0,-735,"1,962",5,4,1/218,-,2.78,82,45.0,+86,"4,256",17,10,1/158,-,2.67,12,2.0,-682,"1,552",4,2,1/259,-,2.57,10,-,-174,"5,679",19,20,1/146,-,4.07,13,1.0,+768,"3,804",16,14,1/127,-,4.19,15,2.0,+755,"4,200",19,11,1/140,-,3.06,17,2.0,-591,"2,308",8,2,1/231,-,2.09,37,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-18,月,いいえ,-555,"1,685",4,5,1/187,-,3.35,18,1.0,"-1,542","2,687",3,10,1/207,-,3.75,69,43.0,-295,738,2,1,1/246,-,3.04,15,3.0,+406,"6,479",24,23,1/138,-,4.23,6,-,+591,"5,159",18,24,1/123,-,5.04,12,6.0,-956,"5,402",18,11,1/186,-,2.10,19,1.0,-741,"2,205",5,7,1/184,-,3.44,26,7.0,-487,"2,234",5,10,1/149,-,4.28,17,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-17,日,いいえ,"+2,139","8,807",31,52,1/106,-,5.47,5,-,-84,"7,804",25,32,1/137,-,4.89,42,17.0,-618,"1,737",4,5,1/193,-,3.29,13,8.0,"+3,161","7,051",35,30,1/108,-,5.14,5,-,-630,"2,926",7,12,1/154,-,4.21,24,8.0,"+2,823","7,209",39,18,1/126,-,2.84,16,1.0,+224,"2,627",12,4,1/164,-,2.40,25,1.0,-158,"2,942",12,4,1/184,-,2.17,15,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-16,土,いいえ,-470,"6,974",21,28,1/142,-,4.71,20,8.0,"-1,379","2,236",3,6,1/248,-,3.02,56,24.0,"+1,052","4,688",21,15,1/130,-,3.78,4,-,+34,"7,084",22,32,1/131,-,5.12,7,3.0,"+1,465","7,171",30,27,1/126,-,4.64,11,4.0,"+1,341","8,274",31,37,1/122,-,5.23,32,5.0,"+1,971","4,536",22,20,1/108,-,4.94,27,7.0,+906,"7,533",28,31,1/128,-,4.95,12,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-15,金,はい,"+2,289","5,710",27,25,1/110,-,5.06,23,1.0,"-1,947","7,446",22,16,1/196,-,1.93,38,15.0,+171,"4,216",16,13,1/145,-,3.51,17,-,-318,"1,173",4,1,1/235,-,2.66,19,1.0,"+1,643","6,578",29,24,1/124,-,4.49,22,3.0,-678,"2,074",5,6,1/189,-,3.27,74,7.0,-317,"5,143",17,17,1/151,-,3.74,67,29.0,-686,"1,665",3,6,1/185,-,3.65,18,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-14,木,いいえ,-658,"2,552",7,7,1/182,-,3.14,62,9.0,+933,"4,004",18,13,1/129,-,3.80,17,3.0,+3,"4,275",16,12,1/153,-,3.16,17,3.0,"+1,992","6,408",33,15,1/134,-,2.59,8,-,-186,728,2,2,1/182,-,3.39,66,3.0,-497,"1,955",4,9,1/150,-,4.25,63,1.0,-3,290,1,1,1/145,-,3.53,53,36.0,-1,"5,764",22,15,1/156,-,2.79,14,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-13,水,いいえ,-718,"2,553",6,9,1/170,-,3.71,44,6.0,-67,"4,333",16,12,1/155,-,3.11,38,8.0,-493,"1,188",3,2,1/238,-,2.90,10,3.0,-763,"1,649",3,5,1/206,-,3.35,30,20.0,-167,"1,177",5,0,1/235,-,2.41,60,1.0,-720,"2,445",7,5,1/204,-,2.66,59,4.0,-950,"1,565",3,2,1/313,-,2.53,55,11.0,+180,"2,278",9,7,1/142,-,3.52,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-12,火,はい,"+1,011","6,782",29,20,1/138,-,3.39,47,22.0,+230,"3,952",10,26,1/110,-,5.36,25,6.0,+225,"2,082",9,5,1/149,-,3.10,8,-,-870,"1,578",3,3,1/263,-,2.80,15,7.0,-314,"5,636",19,18,1/152,-,3.60,62,11.0,+50,"8,159",28,30,1/141,-,4.46,51,3.0,-781,"1,456",2,5,1/208,-,3.53,48,1.0,"+1,913","6,216",31,17,1/130,-,3.19,19,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-11,月,いいえ,+390,"3,174",13,10,1/138,-,3.61,65,16.0,+508,"4,849",20,14,1/143,-,3.30,49,1.0,-507,"1,487",4,3,1/212,-,2.93,21,4.0,+366,"2,956",13,7,1/148,-,2.94,13,-,"-1,045","1,881",3,5,1/235,-,3.09,48,15.0,-206,170,0,0,-,-,3.29,73,8.0,-181,"6,101",21,20,1/149,-,3.75,17,4.0,-140,739,3,0,1/246,-,2.76,33,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-10,日,いいえ,"-1,164","3,574",8,12,1/179,-,3.59,72,4.0,"-2,134","8,000",14,42,1/143,-,5.33,68,2.0,+313,"3,139",11,14,1/126,-,4.59,7,1.0,+193,"6,299",20,29,1/129,-,5.11,6,-,+302,"2,850",13,5,1/158,-,2.49,37,1.0,-854,"2,971",9,5,1/212,-,2.28,66,29.0,-356,501,1,0,1/501,-,2.95,9,2.0,-150,"1,609",6,3,1/179,-,2.88,36,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-09,土,いいえ,"-1,612","4,763",15,4,1/251,-,1.50,70,19.0,+447,"8,784",28,42,1/125,-,5.33,51,25.0,-342,"4,847",17,13,1/162,-,2.93,10,7.0,-74,"5,011",20,10,1/167,-,2.19,18,8.0,-944,"4,579",16,6,1/208,-,1.74,51,25.0,"-2,038","6,482",17,16,1/196,-,2.35,26,4.0,+79,"2,459",11,3,1/176,-,2.27,3,-,"+2,821","7,796",38,28,1/118,-,4.59,22,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-08,金,いいえ,"-1,516","2,061",2,5,1/294,-,2.87,65,15.0,-183,"2,339",9,4,1/180,-,2.55,71,6.0,+186,"4,899",14,27,1/119,-,5.28,2,-,+809,"5,225",23,14,1/141,-,3.04,20,12.0,-396,"3,455",12,8,1/173,-,2.70,36,16.0,+176,"3,320",14,7,1/158,-,2.62,8,1.0,+660,"2,793",13,8,1/133,-,3.41,7,5.0,-30,"6,056",21,21,1/144,-,4.04,50,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,+849,"5,290",25,10,1/151,-,2.13,54,12.0,-878,"2,862",8,6,1/204,-,2.58,68,14.0,"+1,536","8,272",31,39,1/118,-,5.33,10,-,-381,888,2,2,1/222,-,3.20,22,12.0,-130,"5,503",21,13,1/162,-,2.50,42,3.0,-238,978,3,2,1/196,-,3.14,25,3.0,-722,"6,240",18,24,1/149,-,4.44,25,3.0,+300,"1,525",7,4,1/139,-,3.33,39,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,いいえ,"-1,939","3,952",9,6,1/263,-,1.89,64,15.0,+822,"5,283",24,12,1/147,-,2.52,71,7.0,-518,"1,469",5,0,1/294,-,2.18,19,2.0,+506,"7,655",28,28,1/137,-,4.44,20,1.0,"-1,048","2,048",3,7,1/205,-,3.54,22,2.0,-73,"5,187",20,12,1/162,-,2.48,17,-,-399,"3,389",12,7,1/178,-,2.50,22,2.0,"-2,733","7,649",19,18,1/207,-,2.08,49,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,はい,"-1,812","4,824",11,13,1/201,-,2.76,51,22.0,"-2,145","6,845",19,14,1/207,-,1.88,94,43.0,"-1,041","6,144",20,14,1/181,-,2.24,16,-,-898,"7,787",25,23,1/162,-,3.13,29,9.0,+611,"5,377",24,11,1/154,-,2.24,20,1.0,"-1,453","3,840",10,7,1/226,-,2.13,19,1.0,"+2,068","8,866",35,41,1/117,-,5.34,18,2.0,-515,"7,517",21,34,1/137,-,5.13,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,"+1,251","6,930",29,24,1/131,-,4.22,22,1.0,"-1,082","4,719",13,14,1/175,-,3.19,73,47.0,+301,"5,664",23,14,1/153,-,2.66,13,2.0,"+2,144","5,955",29,21,1/119,-,4.36,20,7.0,-74,"3,090",13,4,1/182,-,2.09,21,1.0,+24,"6,580",24,20,1/150,-,3.41,11,-,+417,"2,011",9,6,1/134,-,3.50,26,4.0,-964,"2,604",6,7,1/200,-,3.05,13,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,いいえ,"-1,646","7,028",23,11,1/207,-,1.57,33,2.0,-479,811,2,0,1/406,-,2.65,65,11.0,"+1,254","5,021",21,21,1/120,-,4.80,9,7.0,"-1,387","1,431",1,1,1/716,-,2.33,54,21.0,+420,"3,707",16,9,1/148,-,2.87,11,2.0,"+3,042","7,504",35,34,1/109,-,5.28,18,7.0,"+3,328","6,119",36,17,1/115,-,3.46,31,13.0,"+1,179","2,026",14,1,1/135,-,2.23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-02,土,はい,"-1,397","4,739",13,11,1/197,-,2.41,28,10.0,-390,"2,468",8,6,1/176,-,2.96,59,19.0,"+1,767","7,464",29,36,1/115,-,5.33,18,13.0,-781,"3,158",9,8,1/186,-,2.88,40,1.0,-340,"5,646",20,15,1/161,-,2.83,34,6.0,"+1,281","4,328",22,10,1/135,-,2.77,39,5.0,-496,"4,910",17,12,1/169,-,2.62,88,29.0,-619,"2,865",9,6,1/191,-,2.61,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-01,金,いいえ,+265,"8,545",34,21,1/155,-,2.38,10,7.0,-283,"3,918",15,7,1/178,-,2.19,43,1.0,"-1,102","4,239",11,13,1/177,-,3.31,23,2.0,+701,"7,637",26,35,1/125,-,5.22,42,5.0,-975,"1,668",3,3,1/278,-,2.71,21,11.0,"-1,218","4,560",14,8,1/207,-,1.98,37,14.0,"-1,873","3,064",5,6,1/279,-,2.33,57,14.0,+929,"3,128",16,7,1/136,-,2.87,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-30,木,いいえ,+187,"3,194",13,8,1/152,-,2.99,8,5.0,"-2,064","4,166",8,10,1/231,-,2.48,46,12.0,"+1,769","5,236",21,29,1/105,-,5.36,14,6.0,-379,"1,545",4,5,1/172,-,3.51,58,12.0,"+1,498","3,924",19,15,1/115,-,4.42,16,2.0,"+1,227","3,251",17,9,1/125,-,3.38,26,10.0,-385,"3,009",11,5,1/188,-,2.31,34,8.0,+655,"5,004",22,12,1/147,-,2.69,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,-770,"1,211",2,2,1/303,-,2.84,10,5.0,+385,"8,088",25,40,1/124,-,5.34,24,14.0,-15,926,4,1,1/185,-,2.91,28,1.0,-129,"6,883",26,17,1/160,-,2.49,59,18.0,-684,"2,790",8,7,1/186,-,2.93,27,3.0,-734,"2,671",8,5,1/205,-,2.49,41,6.0,-264,"1,419",5,2,1/203,-,2.74,35,7.0,"+2,138","6,821",27,37,1/107,-,5.42,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-28,火,いいえ,+836,"6,168",26,18,1/140,-,3.33,7,-,+5,"2,142",8,6,1/153,-,3.31,20,13.0,"-1,182","2,127",4,4,1/266,-,2.59,20,13.0,-47,"2,442",10,4,1/174,-,2.49,46,8.0,+647,"4,434",20,10,1/148,-,2.61,28,1.0,-843,"1,111",2,0,1/556,-,2.38,27,7.0,-660,"4,132",13,11,1/172,-,2.92,38,10.0,"-1,216","3,468",8,10,1/193,-,3.12,20,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,"+1,137","3,374",18,7,1/135,-,2.70,7,2.0,-194,160,0,0,-,-,3.31,17,3.0,"+2,787","8,100",38,31,1/117,-,4.86,5,-,-126,"1,097",4,2,1/183,-,3.04,28,11.0,"+1,456","4,424",22,13,1/126,-,3.52,28,11.0,-613,713,1,0,1/713,-,2.72,14,2.0,-179,"1,478",6,1,1/211,-,2.44,33,5.0,+58,"3,252",12,10,1/148,-,3.49,12,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,いいえ,"-1,788","4,165",11,5,1/260,-,1.71,12,2.0,-156,"4,519",18,8,1/174,-,2.08,9,4.0,-878,"8,566",20,46,1/130,-,5.39,20,2.0,-348,"6,164",19,24,1/143,-,4.52,18,6.0,"-2,233","5,330",11,15,1/205,-,2.83,40,2.0,-682,"5,272",18,12,1/176,-,2.37,5,-,-252,"2,323",9,3,1/194,-,2.32,38,18.0,"+2,081","7,160",33,25,1/123,-,4.36,10,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,はい,"+1,286","5,255",28,6,1/155,-,1.66,4,1.0,+275,"4,195",17,11,1/150,-,3.00,3,3.0,"+1,142","7,468",30,27,1/131,-,4.44,8,4.0,"-1,350","3,738",8,12,1/187,-,3.42,22,7.0,+764,"6,067",26,16,1/144,-,2.90,30,8.0,"+1,994","6,846",30,28,1/118,-,4.95,0,-,"+2,469","9,435",42,34,1/124,-,4.63,40,10.0,+134,"3,846",14,13,1/142,-,3.82,15,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,"+1,654","7,126",30,28,1/123,-,4.82,0,-,-626,"7,865",23,32,1/143,-,4.82,16,2.0,-458,794,2,0,1/397,-,2.67,14,10.0,+931,"4,151",19,12,1/134,-,3.40,19,3.0,-408,"1,698",5,4,1/189,-,3.05,59,5.0,-143,"1,031",4,1,1/206,-,2.80,4,4.0,+631,"9,633",33,41,1/130,-,5.16,54,16.0,-431,"1,925",6,4,1/193,-,2.85,38,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,いいえ,+316,"2,112",11,1,1/176,-,2.09,8,3.0,-525,"2,419",8,4,1/202,-,2.45,5,4.0,-423,845,2,1,1/282,-,2.93,14,6.0,-761,"4,680",16,9,1/187,-,2.12,27,13.0,-184,"3,965",16,6,1/180,-,2.00,42,3.0,"+1,364","6,726",30,20,1/135,-,3.47,1,-,"-1,225","1,714",3,1,1/429,-,2.17,83,41.0,-155,"1,441",4,6,1/144,-,3.94,39,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,はい,-567,"4,135",13,12,1/165,-,3.20,9,6.0,+560,"1,574",9,2,1/143,-,2.72,3,3.0,"+1,201","7,965",33,26,1/135,-,3.94,11,2.0,+699,"4,311",20,9,1/149,-,2.47,25,14.0,"-1,147","4,338",9,19,1/155,-,4.62,38,12.0,"+2,723","7,399",34,32,1/112,-,5.17,0,-,"-1,071","1,299",2,0,1/650,-,2.23,72,34.0,-864,"3,018",8,8,1/189,-,2.99,26,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-21,火,いいえ,"+1,009","1,909",12,3,1/127,-,2.78,7,4.0,"+2,864","7,255",40,16,1/130,-,2.39,2,-,"+1,228","7,748",29,34,1/123,-,5.16,15,8.0,"+1,148","4,115",17,19,1/114,-,4.93,35,5.0,+141,"1,294",6,2,1/162,-,2.90,30,9.0,+263,"2,347",10,6,1/147,-,3.16,3,1.0,-804,"2,552",6,8,1/182,-,3.41,53,18.0,-463,"1,166",3,2,1/233,-,2.93,21,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-20,月,いいえ,+767,"4,286",19,12,1/138,-,3.26,7,1.0,"+1,268","5,600",20,31,1/110,-,5.36,3,-,"-1,085","2,335",5,5,1/234,-,2.70,41,3.0,+63,"4,050",17,7,1/169,-,2.15,38,4.0,"+1,052","6,278",27,19,1/136,-,3.53,44,3.0,"+1,518","5,012",22,21,1/117,-,4.82,6,3.0,"-1,237","3,197",7,9,1/200,-,3.06,34,17.0,"+1,479","8,118",31,36,1/121,-,5.21,17,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,いいえ,-645,"3,286",9,11,1/164,-,3.64,14,2.0,+466,"7,688",28,28,1/137,-,4.42,28,4.0,"+1,017","5,522",24,17,1/135,-,3.61,36,8.0,"-1,453","2,718",5,6,1/247,-,2.62,58,22.0,"-1,558","4,166",10,10,1/208,-,2.54,72,14.0,-704,"4,119",12,13,1/165,-,3.47,14,2.0,-772,"1,869",4,5,1/208,-,3.14,12,-,"+1,304","7,286",29,29,1/126,-,4.85,24,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-18,土,いいえ,"+2,282","7,825",32,38,1/112,-,5.37,10,-,"-1,183","2,833",7,5,1/236,-,2.33,43,3.0,"+1,764","8,015",37,22,1/136,-,3.07,50,4.0,"-1,617","7,032",17,27,1/160,-,4.41,26,14.0,"-1,683","2,043",2,3,1/409,-,2.35,46,3.0,+469,"4,532",19,12,1/146,-,3.02,12,1.0,+931,"5,610",26,12,1/148,-,2.33,11,1.0,-828,"2,749",8,5,1/211,-,2.43,40,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-17,金,いいえ,-245,"5,440",19,16,1/155,-,3.25,42,19.0,+160,"6,659",23,25,1/139,-,4.46,12,1.0,-638,"1,262",2,4,1/210,-,3.43,93,51.0,+15,"5,194",20,13,1/157,-,2.71,11,-,"+1,253","3,150",17,8,1/126,-,3.18,18,3.0,-310,"3,347",11,10,1/159,-,3.35,23,3.0,-470,964,2,2,1/241,-,3.11,15,3.0,-732,"3,663",12,7,1/193,-,2.29,20,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-16,木,いいえ,"+1,107","7,466",31,24,1/136,-,3.84,23,1.0,-585,"1,347",3,3,1/225,-,3.05,14,7.0,-744,821,1,0,1/821,-,2.61,84,52.0,-52,"3,117",9,15,1/130,-,4.74,19,5.0,-296,"2,022",7,4,1/184,-,2.79,32,9.0,+473,"5,473",22,16,1/144,-,3.32,22,2.0,-225,"2,460",9,5,1/176,-,2.71,7,-,+873,"2,820",12,13,1/113,-,4.66,20,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-15,水,はい,-460,"1,004",3,0,1/335,-,2.50,43,11.0,+40,"3,829",17,4,1/182,-,1.79,9,5.0,-295,"1,077",4,0,1/269,-,2.47,75,26.0,-704,"1,653",4,3,1/236,-,2.76,13,4.0,-281,440,1,0,1/440,-,3.02,23,10.0,+565,"6,533",24,25,1/133,-,4.58,32,9.0,+393,"5,234",19,20,1/134,-,4.43,4,-,-357,871,2,2,1/218,-,3.22,49,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-14,火,いいえ,+49,"4,590",18,11,1/158,-,2.67,33,9.0,+84,924,4,2,1/154,-,3.24,5,1.0,"-1,286","2,341",5,3,1/293,-,2.20,67,12.0,"+1,174","6,386",28,19,1/136,-,3.46,4,-,-968,"1,405",1,5,1/234,-,3.55,24,19.0,-369,801,2,1,1/267,-,2.97,52,19.0,+260,"1,564",7,4,1/142,-,3.28,5,1.0,-841,"5,097",15,16,1/164,-,3.44,55,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-13,月,いいえ,-242,"2,683",10,5,1/179,-,2.54,55,19.0,-506,"2,195",7,4,1/200,-,2.62,12,-,"-1,370","1,625",2,1,1/542,-,2.21,55,19.0,-768,"1,418",3,2,1/284,-,2.67,18,4.0,"-1,275","3,534",10,5,1/236,-,1.96,19,1.0,+858,"5,729",19,31,1/115,-,5.34,21,2.0,"+1,312","5,456",26,14,1/136,-,2.93,14,2.0,-66,"2,618",10,6,1/164,-,2.88,36,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-12,日,はい,-968,"2,895",7,8,1/193,-,3.08,56,18.0,-396,"2,938",11,4,1/196,-,2.15,7,-,-446,"1,441",4,3,1/206,-,2.98,36,12.0,"+1,028","3,384",18,6,1/141,-,2.44,9,2.0,"+1,191","4,545",20,17,1/123,-,4.38,16,7.0,-555,"2,267",6,7,1/174,-,3.41,38,2.0,-933,"2,738",6,9,1/183,-,3.51,24,8.0,+792,"7,579",28,30,1/131,-,4.81,36,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-11,土,いいえ,"-1,358","2,640",5,6,1/240,-,2.69,24,1.0,+787,"8,032",29,33,1/130,-,4.97,4,-,"-1,065","2,975",7,8,1/198,-,3.00,25,1.0,+146,"2,363",10,5,1/158,-,2.84,10,6.0,+929,"6,060",27,15,1/144,-,2.69,25,1.0,-802,"2,359",7,3,1/236,-,2.24,36,11.0,+619,"2,967",14,7,1/141,-,2.96,23,13.0,+615,"4,252",19,10,1/147,-,2.74,38,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-10,金,いいえ,"+1,362","6,085",25,25,1/122,-,4.86,23,1.0,+779,"4,499",17,20,1/122,-,4.86,8,-,+918,"6,868",27,25,1/132,-,4.42,16,6.0,-236,"1,556",5,4,1/173,-,3.21,10,2.0,"+1,252","3,758",18,13,1/121,-,4.05,18,2.0,-887,"1,130",0,5,1/226,-,3.82,22,4.0,+586,"3,571",16,9,1/143,-,3.01,16,6.0,-871,"3,232",9,8,1/190,-,2.81,65,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-09,木,いいえ,-637,"2,800",9,5,1/200,-,2.41,31,13.0,+122,"5,089",18,18,1/141,-,4.08,18,1.0,-406,831,2,1,1/277,-,2.94,38,7.0,+685,"4,323",20,9,1/149,-,2.46,6,-,"+1,399","3,429",17,13,1/114,-,4.32,18,1.0,-37,"1,809",7,4,1/164,-,3.01,17,11.0,-728,"1,256",2,3,1/251,-,3.11,18,1.0,"-1,196","2,875",6,8,1/205,-,3.06,52,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
